"转让人","受让人","IPC分类号","申请人地区","受让人地址","转让人省份","受让人省份"
"深圳市赛宇景观设计工程有限公司","和宇健康科技股份有限公司","H04L29/08; H04L12/24; G06F11/14; G06F16/27; G06F16/29","广东","510627 广东省广州市天河区海安路13号之一2003、1801、1804房","广东","51"
"未鲲(上海)科技服务有限公司","憨猴科技集团有限公司","G06Q20/40; G06Q40/06","上海","100071 北京市丰台区南四环西路186号四区4号楼8层15室","上海","10"
"阿尔卡特朗讯公司","乌索投资有限公司","H04L12/26; H04L12/56; H04L12/46","法国","美国加利福尼亚","法国","美国"
"河南文正电子数据处理有限公司","广西电网有限责任公司","G06F11/34","广西","530013 广西壮族自治区南宁市兴宁区民主路6号","广西","53"
"成都市顶钻科技有限公司","广州固融信息科技有限公司","G06F1/16; G06F21/32","四川","510000 广东省广州市天河区天河北路900号4楼(部位自编A493A单元)","四川","51"
"西门子工业公司","西门子公司","G06F13/00","美国","德国慕尼黑","美国","德国"
"苏州天鸣信息科技有限公司","广东高航知识产权运营有限公司","G06F3/0487","江苏","510640 广东省广州市天河区五山路中公教育大厦371-1号2401单元","江苏","51"
"华中科技大学","深圳大学","G06F17/10","广东","518060 广东省深圳市南山区南海大道3688号","广东","51"
"西门子公司","华为技术有限公司","H04L12/40; H04L12/413; H04L12/851; H04L12/853; H04L12/931","德国","518129 广东省深圳市龙岗区坂田华为总部办公楼","德国","51"
"松下电器产业株式会社","诺基亚通信公司","H04L27/26; H04J1/00; H04B1/04; H04J13/00","日本","芬兰埃斯波","日本","芬兰"
"英特尔公司","展讯通信(上海)有限公司","H04L27/26; H04L1/06; H04L1/00; H04J99/00","美国","上海市浦东新区自由贸易试验区祖冲之路2288弄展讯中心1号楼","美国","上海"
"重庆金融资产交易所有限责任公司","广州宾聚科技有限公司","G06F21/64","重庆","510640 广东省广州市天河区科华街1号301至353室E162房(仅限办公)","重庆","51"
"陈龙","浙江清客云网络科技有限公司","G06F1/16","广东","322100 浙江省金华市东阳市江北街道猴塘社区广福东街23号总部中心G区B幢西座2102室","广东","32"
"贝壳找房(北京)科技有限公司","北京房江湖科技有限公司","G06F16/958; G06F8/61","北京","101309 北京市顺义区杨镇二街村农场路62号24室","北京","10"
"上海朗帛通信技术有限公司","荣耀终端有限公司","H04L5/00","上海","518040 广东省深圳市福田区香蜜湖街道红荔西路8089号深业中城6号楼A单元3401","上海","51"
"盛趣信息技术(上海)有限公司; 盛大计算机(上海)有限公司","盛乐信息技术(上海)有限公司","G06F3/033; G06F3/038; G06F3/0354","上海","上海市浦东新区郭守敬路356号, 邮编 : 201203","上海","上海"
"中国地质大学(武汉)","芽米科技(广州)有限公司","G06Q20/06; G06Q20/38; G06Q40/04","湖北","510530 广东省广州市黄埔区科丰路85号801房","湖北","51"
"诺基亚公司","诺基亚技术有限公司","G06K9/62; G06K9/72","芬兰","芬兰埃斯波","芬兰","芬兰"
"展讯通信(上海)有限公司; 芯鑫融资租赁(北京)有限责任公司; 芯鑫融资租赁(厦门)有限责任公司; 芯鑫融资租赁有限责任公司","芯鑫融资租赁有限责任公司; 展讯通信(上海)有限公司; 芯鑫融资租赁(厦门)有限责任公司; 芯鑫融资租赁(北京)有限责任公司","H04L25/02; H04B1/7105","上海","200127 上海市中国(上海)自由贸易试验区张杨路707号32楼3205F室; 201203 上海市浦东新区中国(上海)自由贸易试验区祖冲之路2288; 201203 上海市浦东新区张江高科技园区祖冲之路2288弄展讯中心1号楼; 361012 福建省厦门市中国(福建)自由贸易试验区厦门片区象屿路97号厦门国际航运中心D栋8层05单元; 100033 北京市西城区金融街乙9号威斯汀行政公寓2062室","上海","20"
"鸿富锦精密工业(武汉)有限公司; 鸿海精密工业股份有限公司","海宁经开产业园区开发建设有限公司","G06F11/22","湖北","314400 浙江省嘉兴市海宁市海宁经济开发区隆兴路118号内主办公楼207室","湖北","31"
"洋浦美诺安电子科技有限责任公司","链博(成都)科技有限公司","G06Q10/04; G06Q40/06; G06K9/62; G06N3/04; G06N3/08","四川","610000 四川省成都市高新区天府大道北段1677号B座408号","四川","61"
"中天宽带技术有限公司","中天宽带技术有限公司; 中天通信技术有限公司","G06F30/367; G06F30/373; G06F111/06","江苏","226463 江苏省南通市如东县河口镇中天路1号","江苏","22"
"山东浪潮人工智能研究院有限公司","山东浪潮科学研究院有限公司","G06K9/62; G06N3/04; G06T7/11","山东","250100 山东省济南市高新浪潮路1036号S02号楼","山东","25"
"西门子公司","西门子公司; 西门子医疗有限公司","G06F19/00; G06T13/20","德国","德国慕尼黑; 德国埃朗根","德国","德国"
"山东汇贸电子口岸有限公司","浪潮云信息技术有限公司","H04L12/26; H04L29/08","山东","250100 山东省济南市高新区浪潮路1036号浪潮科技园S01号楼","山东","25"
"浙江工业大学","合肥名龙电子科技有限公司","H04L9/00","浙江","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1015","浙江","23"
"河南城建学院","合肥智慧龙机械设计有限公司","G06Q10/063; G06Q10/20; G06Q50/06","河南","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1018","河南","23"
"山东交通学院","合肥名龙电子科技有限公司","B60W30/165; B60W20/15; B60W10/06; B60W10/08; B60W40/105; B60W40/107","山东","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1015","山东","23"
"华南理工大学","上海海事大学","H04L1/16; H04L1/18; H04L12/813; H04W28/10; H04L47/20","上海","201306 上海市浦东新区临港新城海港大道1550号","上海","20"
"瞻博网络公司","慧与发展有限责任合伙企业","H04L12/70; H04L29/06","美国","美国得克萨斯州","美国","美国"
"山东汇贸电子口岸有限公司","上海浪潮云计算服务有限公司","H04L29/06; H04L29/08; H04L12/24","上海","200436 上海市闸北区江场三路238号411室","上海","20"
"盛乐信息技术(上海)有限公司","上海掌门科技有限公司","H04L12/26; H04L29/12","上海","201821 上海市嘉定区沪宜公路5358号140室","上海","20"
"西安元朔科技有限公司","西北工业大学","G06F19/00","陕西","710072 陕西省西安市碑林区友谊西路127号205信箱","陕西","71"
"腾讯科技(深圳)有限公司","腾讯云计算(北京)有限责任公司","G06F17/30","广东","100090 北京市海淀区知春路49号3层西部309","广东","10"
"北京英迈琪科技有限公司","四川中电启明星信息技术有限公司","G06F9/50","四川","610000 四川省成都市郫都区现代工业港(南片区)西源大道2688号","四川","61"
"中北大学","合肥净龙环保科技有限公司","G06V10/774; G06V10/56; G06N20/10","山西","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1017","山西","23"
"中国科学院地理科学与资源研究所","昆明理工大学","G06F17/18","云南","650000 云南省昆明市一二一大街文昌路68号","云南","65"
"惠普开发有限公司","三星电子株式会社","G06F11/14; G06F12/00; G06F12/16","美国","韩国京畿道","美国","韩国"
"王彬","浩德科技股份有限公司","H04L29/08; H04B1/16; G01K13/00; G01L5/00; G01R31/28; H04B17/30","上海","200050 上海市长宁区协和路1158号217-5室","上海","20"
"英特尔公司","三星电子株式会社","G06F13/14; G06F13/38","美国","韩国京畿道","美国","韩国"
"松下电器产业株式会社; 松下电器(美国)知识产权公司","松下电器(美国)知识产权公司; 松下电器产业株式会社","H04L1/00; H04L5/00","美国","美国加利福尼亚州; 日本大阪府","美国","美国"
"北华航天工业学院","深圳万知达科技有限公司","G06F18/2431; G06F18/241; G06N3/042; G06N3/045; G06N3/0475; G06N3/094; G06F18/213","河北","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1002","河北","51"
"安徽师范大学","和宇健康科技股份有限公司","H04L29/08","安徽","510627 广东省广州市天河区海安路13号之一2003、1801、1804房","安徽","51"
"汤姆森许可贸易公司","交互数字VC控股公司","G06F13/00; H04N5/00; H04N7/16; H04N7/24","法国","美国特拉华","法国","美国"
"艾利森电话股份有限公司","OPPO广东移动通信有限公司","H04L1/18","瑞典","广东省东莞市长安镇乌沙海滨路18号","瑞典","广东"
"南方电网数字电网研究院有限公司","南方电网数字电网科技(广东)有限公司","H04L29/06; H04L29/08; H04B3/54","广东","510700 广东省广州市黄埔区光谱中路11号2栋3单元14层全层","广东","51"
"河南大学","合肥龙智机电科技有限公司","G06T7/00; G06T7/70; G06T5/00; G06T3/40; G06N3/0464","河南","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-2704","河南","23"
"北京金山安全软件有限公司","珠海豹趣科技有限公司","G06F17/30","北京","519000 广东省珠海市横琴新区宝华路6号105室-53811(集中办公区)","北京","51"
"浙江省北大信息技术高等研究院; 杭州未名信科科技有限公司","杭州未名信科科技有限公司; 浙江省北大信息技术高等研究院","G06K9/46; G06K9/62; G06N3/04","浙江","311200 浙江省杭州市萧山区宁围街道钱江世纪公园C区1幢101室","浙江","31"
"深圳天珑无线科技有限公司","天聚地合(苏州)数据股份有限公司","G06F3/0482; G06F3/0488","江苏","215000 江苏省苏州市苏州工业园区启月街288号紫金东方大厦307室","江苏","21"
"深圳市商汤科技有限公司","北京绝影智联科技有限公司","G06V20/64; G06V20/56; G06V10/25; G06V10/774; G06V10/764; G06V10/82; G06N3/0464; G06N3/08; G06T7/73; G06T7/77","北京","100000 北京市大兴区北京经济技术开发区荣华南路2号院1号楼22层2203室","北京","10"
"刘勇","北京创鑫旅程网络技术有限公司","G06F21/32; G06F21/62","北京","100000 北京市朝阳区酒仙桥北路9号(厂区)10幢","北京","10"
"北京神州数码云科信息技术有限公司","北京神州数码云科信息技术有限公司; 神州鲲泰(厦门)信息技术有限公司","H04L29/06; H04L12/14","北京","100085 北京市海淀区上地九街9号3层301号","北京","10"
"上海交通大学","广东电网有限责任公司广州供电局","G06Q10/04; G06Q10/06; G06Q50/06","广东","510000 广东省广州市天河区天河南二路2号","广东","51"
"北京迈格威科技有限公司","迈驰智行(重庆)科技有限公司","G06V20/54; G06V20/40; G06V10/75; G08G1/095","北京","401120 重庆市渝北区两江新区卉竹路2号9幢2层257号","北京","40"
"重庆邮电大学","深圳天珑无线科技有限公司","H04L12/26; H04L12/24","重庆","518000 广东省深圳市南山区华侨城东部工业区H3栋501","重庆","51"
"湖南大学","南京信息工程大学","G06T1/00","江苏","210044 江苏省南京市宁六路219号南京信息工程大学","江苏","21"
"杭州师范大学钱江学院","广州大鱼创福科技有限公司","G06F16/9536; G06Q50/00; G06K9/62; G06N3/04; G06N3/08","浙江","510530 广东省广州市黄埔区科丰路85号801房","浙江","51"
"华为技术有限公司","华为终端有限公司","G06F8/38; G06F8/34","广东","523808 广东省东莞市松山湖高新技术产业开发区新城大道2号南方工厂厂房(一期)项目B2区生产厂房-5","广东","52"
"深圳光启合众科技有限公司","深圳光启空间技术有限公司","G06F3/0488","广东","518057 广东省深圳市南山区高新中一道9号软件大厦2楼","广东","51"
"华为数字技术(苏州)有限公司","华为云计算技术有限公司","H04L29/06; H04L29/12; H04L12/24","江苏","550025 贵州省贵阳市贵安新区黔中大道交兴功路华为云数据中心","江苏","55"
"武汉斗鱼网络科技有限公司","重庆贝奥新视野医疗设备有限公司","G06T7/90","湖北","400000 重庆市九龙坡区重庆高新区金凤镇凤笙路27号附5号第2层","湖北","40"
"重庆大学","山东科技大学","G06F30/20; G06F119/14","重庆","266590 山东省青岛市黄岛区前湾港路579号","重庆","26"
"西门子公司","西门子医疗有限公司","G06T7/40; G06T7/20; G06T7/254","德国","德国埃朗根","德国","德国"
"莱芜职业技术学院","合肥智慧龙机械设计有限公司","G06T7/00","山东","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1018","山东","23"
"燕山大学","深圳万知达科技有限公司","G06T7/40; G06V10/772; G06K9/62","河北","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1002","河北","51"
"广州酷狗计算机科技有限公司; 成都酷狗创业孵化器管理有限公司","成都酷狗创业孵化器管理有限公司; 广州酷狗计算机科技有限公司","H04L29/08; H04L12/26; G06F9/50","广东","610000 四川省成都市中国(四川)自由贸易试验区成都高新区天府大道中段500号1栋41楼4119; 510660 广东省广州市天河区黄埔大道中315号自编1-17","广东","61"
"西门子(中国)有限公司","北京智谷技术服务有限公司","H04L12/56; H04L12/26; H04L29/06; H04Q7/38; H04L9/00; H04W56/00; H04W74/08","北京","100085 北京市海淀区小营西路33号1层1F06室","北京","10"
"英特尔公司","索尼公司","G06F3/06; G06F12/02","日本","日本东京","日本","日本"
"支付宝(杭州)信息技术有限公司","蚂蚁区块链科技(上海)有限公司","G06F21/60; G06F21/62","上海","200025 上海市黄浦区黄陂南路838弄1号4幢A座20层(实际楼层17层)02单元","上海","20"
"许昌学院","龙图腾网科技(合肥)股份有限公司","B60L53/31; B60L53/16; B60L53/36","河南","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼1楼","河南","23"
"阿里巴巴集团控股有限公司","阿里云计算有限公司","G06F17/30","开曼群岛","浙江省杭州市西湖区转塘科技经济区块16号8幢","开曼","浙江"
"北京工业大学","合肥名龙电子科技有限公司","G06F3/01; G06V40/20; G06V40/10","北京","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1015","北京","23"
"成都格瑞思文化传播有限公司","北京盟创科技有限公司","G06F3/0354","四川","101407 北京市怀柔区雁栖工业开发区二区16号","四川","10"
"富士通株式会社","苹果公司","G06F3/033; G06F3/041; G06F3/048; G06F3/0481; G06F3/0485; G06F3/0487; G06F3/0488","日本","美国加利福尼亚","日本","美国"
"陕西师范大学","深圳万知达科技有限公司","G06F16/9535; G06F16/36; G06N3/04; G06N3/08","陕西","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1002","陕西","51"
"国际商业机器公司","三星电子株式会社","G06N3/02","韩国","韩国京畿道水原市","韩国","韩国"
"淮阴工学院","龙图腾网科技(合肥)股份有限公司","G06F30/27; G06N3/006; G06N3/04; G06N3/08; G01N33/18; G01D21/02","江苏","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼1楼","江苏","23"
"淮阴工学院","憨猴科技集团有限公司","G06N3/045; G06N3/0442; G06N3/049; G16Y40/10; G01L5/00","江苏","100071 北京市丰台区南四环西路186号四区4号楼8层15室","江苏","10"
"南昌大学","西安慧脑智能科技有限公司","G06F3/023; G06F3/01","江西","710003 陕西省西安市高新区丈八街办科技二路清华科技园D座25层","江西","71"
"长安大学","中咨数据有限公司; 中国公路工程咨询集团有限公司","G06K9/00; G06K9/34; G06K9/38; G06K9/40; G06T7/187; G06T7/90","陕西","100089 北京市海淀区紫竹院路116号8层A座908","陕西","10"
"西南交通大学","合肥净龙环保科技有限公司","H04L9/08; H04L9/06; H04L29/08","四川","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1017","四川","23"
"云南大学","龙图腾网科技(合肥)股份有限公司","G16C20/30; G16C20/50; G16C20/70; G16C60/00; G06N3/04; G06N3/08; G06N20/10; G06N20/20","云南","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼1楼","云南","23"
"成都汇智远景科技有限公司","广西电网有限责任公司","H04L29/06; H04L29/08; H04L9/08","四川","530000 广西壮族自治区南宁市兴宁区民主路6号","四川","53"
"常州工学院","北京百卓网络技术有限公司","G10L25/30; G10L25/51","江苏","100095 北京市海淀区地锦路5号院3号楼","江苏","10"
"吉林大学","湖北华中电力科技开发有限责任公司","H04L67/10; H04L41/0894; H04L41/14; H04L47/78; G06N20/00","吉林","430000 湖北省武汉市洪山区珞瑜路546号","吉林","43"
"中国计量大学","浙江知多多网络科技有限公司","G06F16/9535; G06F16/901; G06N3/04; G06Q30/02","浙江","311100 浙江省杭州市余杭区仓前街道海创科技中心2号楼4层407-10室","浙江","31"
"欧芬诺有限责任公司","三星电子株式会社","H04L5/00; H04W72/12; H04W72/14; H04W74/04; H04W52/14; H04W76/28; H04W28/02","韩国","韩国京畿道","韩国","韩国"
"阿里巴巴(中国)有限公司","阿里巴巴达摩院(杭州)科技有限公司","G06F16/332; G06Q50/18","浙江","311121 浙江省杭州市余杭区五常街道文一西路969号3幢5层516室","浙江","31"
"诺基亚公司","诺基亚西门子通信公司","H04L12/24; H04L12/06; H04L; H04L29/06; H04L29/12","芬兰","芬兰埃斯波","芬兰","芬兰"
"天津职业技术师范大学","佛山科学技术学院","G06T7/00; G06T7/11; G06T7/66","广东","528000 广东省佛山市禅城区江湾一路18号","广东","52"
"闽江学院","合肥九州龙腾科技成果转化有限公司","G06K9/62; G06N3/04","福建","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼203","福建","23"
"北京百度网讯科技有限公司","北京神州数码云科信息技术有限公司; 神州鲲泰(厦门)信息技术有限公司","G06V40/16; G06V10/74; G06V10/774; G06V10/82; G06N3/0464; G06N3/08","北京","100000 北京市海淀区上地九街9号3层301号","北京","10"
"中国人民解放军国防科学技术大学","中国人民解放军国防科技大学","G06K9/00","湖南","410073 湖南省长沙市开福区德雅路109号","湖南","41"
"富泰华工业(深圳)有限公司; 鸿海精密工业股份有限公司","嘉善县魏塘资产管理有限公司","G06F3/02; G06F1/16","广东","浙江省嘉兴市嘉善县魏塘街道环北西路355号二楼西侧西二间","广东","浙江"
"上海闻泰电子科技有限公司","上海闻泰信息技术有限公司","G06Q10/08; G06Q50/28; H04M1/725; G06K7/10","上海","200062 上海市普陀区云岭东路89号2111-L室","上海","20"
"重庆知遨科技有限公司","青岛科技大学","G06F16/635","山东","266061 山东省青岛市崂山区松岭路99号","山东","26"
"TCL通讯(宁波)有限公司","TCL移动通信科技(宁波)有限公司","G06F9/45; G06F9/44","浙江","315100 浙江省宁波市高新区扬帆路999弄5号10楼","浙江","31"
"中国石油大学(华东)","哈尔滨工程大学","G06F30/28; A41D13/11","黑龙江","150000 黑龙江省哈尔滨市南岗区南通大街145号","黑龙","15"
"哈尔滨理工大学","黑龙江科技大学","G06T7/40","黑龙江","150022 黑龙江省哈尔滨市松北区浦源路2468号","黑龙","15"
"国际商业机器公司","现代自动车株式会社; 起亚株式会社","G06F21/60; G06F16/33","韩国","韩国首尔","韩国","韩国"
"惠州TCL移动通信有限公司","TCL移动通信科技(宁波)有限公司","G06F9/44; G06F17/30","浙江","315100 浙江省宁波市高新区扬帆路999弄5号10楼","浙江","31"
"诺基亚公司","RPX公司","H04L1/18","美国","美国加利福尼亚州","美国","美国"
"三菱电机株式会社","捷讯研究有限公司","H04L1/00; H04B1/69; H04B7/26; H04L12/26; H04M1/725; H04Q7/36; H04Q7/38","日本","加拿大安大略省沃特卢市","日本","加拿"
"美国西门子医疗解决公司","西门子保健有限责任公司","A61B5/0402; A61B19/00; G06F19/00","美国","德国埃朗根市","美国","德国"
"北华航天工业学院","河北大学","B60L53/60; B60L53/31; H02J3/32","河北","071000 河北省保定市五四东路180号","河北","07"
"上海斐讯数据通信技术有限公司","曙光星云信息技术(北京)有限公司","G06T7/11; G06T7/136; G06N3/12","北京","100089 北京市海淀区东北旺西路8号院36号楼2层201室","北京","10"
"鸿富锦精密电子(天津)有限公司; 鸿海精密工业股份有限公司","嘉善县魏塘资产管理有限公司","G06F11/22","天津","314100 浙江省嘉兴市嘉善县魏塘街道环北西路355号二楼西侧西二间","天津","31"
"芯鑫融资租赁(北京)有限责任公司; 展讯通信(上海)有限公司; 芯鑫融资租赁(厦门)有限责任公司; 芯鑫融资租赁有限责任公司","展讯通信(上海)有限公司; 芯鑫融资租赁(厦门)有限责任公司; 芯鑫融资租赁(北京)有限责任公司; 芯鑫融资租赁有限责任公司","H04L27/26","上海","201203 上海市浦东新区中国(上海)自由贸易试验区祖冲之路2288; 361012 福建省厦门市中国(福建)自由贸易试验区厦门片区象屿路97号厦门国际航运中心D栋8层05单元; 201203 上海市浦东新区张江高科技园区祖冲之路2288弄展讯中心1号楼; 100033 北京市西城区金融街乙9号威斯汀行政公寓2062室; 200127 中国(上海)自由贸易试验区张杨路707号32楼3205F室","上海","20"
"纽昂斯通讯公司","微软技术许可有限责任公司","G10L15/30","美国","美国华盛顿州","美国","美国"
"英业达科技有限公司; 英业达股份有限公司","广州宾聚科技有限公司","G06F30/394; G06F30/398; G06F16/901; G06F16/903","上海","广东省广州市天河区科华街1号301至353室E162房(仅限办公)","上海","广东"
"江苏大学","深圳万知达技术转移中心有限公司","G06F30/20","广东","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1003","广东","51"
"中国南方电网有限责任公司; 南方电网数字电网研究院股份有限公司","南方电网数字电网科技(广东)有限公司","H04L12/66","广东","510700 广东省广州市黄埔区光谱中路11号2栋3单元14层全层","广东","51"
"北京旷视科技有限公司","迈驰智行(重庆)科技有限公司","G06F3/01; G06F3/0481","北京","401120 重庆市渝北区两江新区卉竹路2号9幢2层257号","北京","40"
"王龙","和宇健康科技股份有限公司","G06F16/16; G06F16/13; G06F21/60; G06F21/62","广东","510627 广东省广州市天河区海安路13号之一2003、1801、1804房","广东","51"
"安华高科技杰纳勒尔IP(新加坡)私人有限公司","原相科技股份有限公司","G06F3/038","新加坡","中国台湾新竹","新加","中国"
"北京嘉沐安科技有限公司","农夫铺子发展集团有限公司","G06Q30/06; G06V10/22; G06V20/62; G06V10/762; G06K9/62","河南","464000 河南省信阳市农夫铺子数字经济产业园","河南","46"
"蚂蚁智信(杭州)信息技术有限公司","蚂蚁区块链科技(上海)有限公司","G06F9/54; G06F21/62; G06F21/64","浙江","200010 上海市黄浦区外马路618号8层803室","浙江","20"
"重庆大学","湖北华中电力科技开发有限责任公司","G06F16/9536; G06F16/9538; G06F16/955; G06F40/284; G06N3/04; G06N3/08","重庆","430000 湖北省武汉市洪山区珞瑜路546号","重庆","43"
"雷飏","读书郎教育科技有限公司","G06F3/0346; G06F3/0481","广东","528458 广东省中山市五桂山镇长命水工业园","广东","52"
"平安普惠企业管理有限公司","湖北华中电力科技开发有限责任公司","G06F16/2455; G06F16/2457; G06F16/2458","湖北","430000 湖北省武汉市洪山区珞瑜路546号","湖北","43"
"杭州电子科技大学","合肥智慧龙机械设计有限公司","G06Q10/04; G06Q50/06; G06F17/18","浙江","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1018","浙江","23"
"浙江大学","华为技术有限公司","G06N3/04; G06N3/08; G06N20/00; G06F21/60; G06F21/62","浙江","518129 广东省深圳市龙岗区坂田华为总部办公楼","浙江","51"
"通用电气公司","ABB瑞士股份有限公司","G06F1/12; G06F3/05; H01H83/20; H02H1/00; H02H3/00; H02H3/05; H02H7/26; H02H7/30; H02J3/00; H02J13/00; H04L1/00; H04L12/24; H04L12/26","美国","瑞士巴登","美国","瑞士"
"原相科技股份有限公司","三星电子株式会社","G06F3/01; G01S17/87","台湾","韩国京畿道水原市灵通区三星路129号","台湾","韩国"
"阿里巴巴新加坡控股有限公司","阿里巴巴(中国)有限公司","H04L49/354","浙江","浙江省杭州市滨江区长河街道网商路699号4号楼5楼508室","浙江","浙江"
"韶关市启之信息技术有限公司","青岛民航凯亚系统集成有限公司","G06K9/00; G06K9/62; H04M1/72454; H04M1/72451; H04M1/72457; G08G1/01","山东","266000 山东省青岛市崂山区秦岭路8号1803室","山东","26"
"惠州TCL移动通信有限公司","南方电网互联网服务有限公司","G06F3/01","广东","510699 广东省广州市越秀区东风东路757号大院办公综合楼606-609房","广东","51"
"山东师范大学","重庆贝奥新视野医疗设备有限公司","G06T5/00; G06N3/04; G06N3/08","山东","400000 重庆市九龙坡区重庆高新区金凤镇凤笙路27号附5号第2层","山东","40"
"西南科技大学","广州大鱼创福科技有限公司","G06Q30/06","四川","510530 广东省广州市黄埔区科丰路85号801房","四川","51"
"燕山大学","合肥龙智机电科技有限公司","G06F30/23; G06F30/17; G06F119/08","河北","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-2704","河北","23"
"鸿富锦精密工业(深圳)有限公司; 鸿海精密工业股份有限公司","许昌学院","H04L29/06","河南","461000 河南省许昌市魏都区八一路88号许昌学院","河南","46"
"燕山大学","龙图腾网科技(合肥)股份有限公司","G06F30/23; G06F30/17","河北","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼1楼","河北","23"
"芯鑫融资租赁有限责任公司; 芯鑫融资租赁(厦门)有限责任公司; 展讯通信(上海)有限公司; 芯鑫融资租赁(北京)有限责任公司","芯鑫融资租赁(北京)有限责任公司; 展讯通信(上海)有限公司; 芯鑫融资租赁(厦门)有限责任公司; 芯鑫融资租赁有限责任公司","H04L1/06; H04L25/02; H04L5/02","上海","100033 北京市西城区金融街乙9号威斯汀行政公寓2062室; 201203 上海市浦东新区张江高科技园区祖冲之路2288弄展讯中心1号楼; 361012 福建省厦门市中国(福建)自由贸易试验区厦门片区象屿路97号厦门国际航运中心D栋8层05单元; 200127 中国(上海)自由贸易试验区张杨路707号32楼3205F室; 201203 上海市浦东新区中国(上海)自由贸易试验区祖冲之路2288","上海","10"
"广西师范大学","深圳万知达科技有限公司","G06V40/20; G06V10/764; G06V10/82; G06K9/62; G06N3/04; G06N3/08","广西","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1002","广西","51"
"清华大学","赛特斯信息科技股份有限公司","H04L12/56; H04L29/06; H04L12/755; H04L12/801","北京","210042 江苏省南京市玄武区玄武大道699-22号18幢","北京","21"
"北京邮电大学","华为技术有限公司","H04L12/801; H04L12/815; H04L12/873; H04L12/877; H04L47/22; H04L47/52; H04L47/525","广东","518129 广东省深圳市龙岗区坂田华为总部办公楼","广东","51"
"武汉科技大学","深圳泓越信息科技有限公司","G06Q10/04; G06Q50/30; G06Q50/26; G06N3/08; G06K9/00; G06N3/04","湖北","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1104","湖北","51"
"索尼公司","汤姆逊许可公司","G06F3/00; G06F9/06; G06F3/14; G06F1/16; G06F3/0362; G06F3/0482","日本","法国伊西莱穆利诺","日本","法国"
"首都师范大学","深圳万知达科技有限公司","G06V40/16; G06V10/774","北京","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1002","北京","51"
"阿尔卡特朗讯公司","北京小米移动软件有限公司","H04L12/18; H04L12/46; H04M7/00; H04M3/56; H04L29/06","法国","北京市海淀区清河中街68号华润五彩城购物中心二期9层01房间","法国","北京"
"山东师范大学","湖北华中电力科技开发有限责任公司","G06Q10/04; G06N3/0464; G06N3/042; G06N3/08","山东","430000 湖北省武汉市洪山区珞瑜路546号","山东","43"
"中国计量大学","龙图腾网科技(合肥)股份有限公司","H04L1/06; H04L1/00; H04J11/00","浙江","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼1楼","浙江","23"
"苏州科技大学","合肥智慧龙机械设计有限公司","G06F30/17; G06F30/23; G06F30/27; G06N3/126; G06F119/14","江苏","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1018","江苏","23"
"同盾控股有限公司","中国建设银行股份有限公司","G06Q10/06","北京","100033 北京市西城区金融大街25号","北京","10"
"重庆邮电大学","赛特斯信息科技股份有限公司","H04L5/00; H04W72/04","重庆","210000 江苏省南京市玄武区玄武大道699号-22号18幢","重庆","21"
"深圳市腾讯计算机系统有限公司","广州酷狗计算机科技有限公司","G06F3/0485","广东","510000 广东省广州市天河区科韵路16号自编2栋1301房","广东","51"
"常州信息职业技术学院","合肥龙智机电科技有限公司","G06F1/16","江苏","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-2704","江苏","23"
"盛乐信息技术(上海)有限公司","盛趣信息技术(上海)有限公司","H04L29/06; H04L29/08; G06F17/30","上海","201203 上海市浦东新区张江碧波路690号1号楼","上海","20"
"上海科斗电子科技有限公司","国网上海市电力公司","G06F3/0354","上海","200002 上海市黄浦区南京东路181号","上海","20"
"西门子股份公司","西门子医疗有限公司","G06T7/00; G06T7/55; G06T7/62","德国","德国埃尔朗根","德国","德国"
